ID1,id,author,vachana,author_id
11,1168,ಮಾದಾರ ಧೂಳಯ್ಯ,"ಅಂಗ ಪ್ರಾಣ ಸಂಗವುಳ್ಳನ್ನಕ್ಕ,
ಲಿಂಗಪೂಜೆಯೆಂಬ ದಂದುಗ ಬಿಡದು.
ಈ ಹೊರಗು ಒಳಗಾಗಿಯಲ್ಲದೆ,
ಪ್ರಾಣಲಿಂಗಿಯೆಂಬ ಸಂಬಂದ್ಥಿಯಲ್ಲ.
ಲಿಂಗಕ್ಕೆ ಪ್ರಾಣ, ಪ್ರಾಣಕ್ಕೆ ಲಿಂಗ
ಉಭಯಸಂಬಂಧವಾದಲ್ಲಿ,
ಉರಿ ಕೊಂಡ ಕರ್ಪುರಕ್ಕೆ ತೊಡರುವುದಕ್ಕೆ ಠಾವಿಲ್ಲ,
ಕಾಮಧೂಮ ಧೂಳೇಶ್ವರಾ.",
12,1151,ಬಸವಣ್ಣ,"ಕುಂಡಲಿಗನೊಂದು ಕೀಡೆಯ ತಂದು
ತನ್ನಂತೆ ಮಾಡಿತಲ್ಲಾ, ಎಲೆ ಮಾನವಾ,
ಕೇಳಿ ನಂಬಯ್ಯಾ, ನೋಡಿ ನಂಬಯ್ಯಾ,
ಎಲೆ ಮಾನವಾ.
ತ್ವಚ್ಚಿಂತಯಾ ಮಹಾದೇವ ತ್ವಾಮೇವೈತಿ ನ ಸಂಶಯಃ
ಭ್ರಮದ್‍ಭ್ರಮರಚಿಂತಾಯಾಂ ಕೀಟೋಡಿಪಿ ಭ್ರಮರಾಯತೇ
ಕೂಡಲಸಂಗನ ಶರಣರ ಅನುಭಾವ
ಇದರಿಂದ ಕಿರುಕುಳವೆ,
ಎಲೆ ಮಾನವಾ",
13,1256,ನಗೆಯ ಮಾರಿತಂದೆ,"ಹಳ್ಳಿಯ ಹೊಲೆಯನ ಕೈಯಲ್ಲಿ ಡಿಳ್ಳಿಯದ್ಥಿಪತಿ ಸತ್ತ.
ಆಳುವ ಗಂಡ ಹೆಂಡತಿಗೆ ಕೀಳಾಳಾದ.
ಒಡೆದು ಬಂಟನಿಗೆ ಬಡಿಹೋರಿಯಾದ.
ಹೊಡೆಯ ಹುಲ್ಲು ಕರವಾಳ ಹಿಡಿಯ ಕೊಯ್ಯಿತ್ತು.
ಆತುರವೈರಿ ಮಾರೇಶ್ವರಾ.",
14,100,ಅಕ್ಕಮಹಾದೇವಿ,"ಎನ್ನ ನಾಲಗೆಗೆ ಬಪ್ಪರುಚಿ ನಿಮಗರ್ಪಿತ.
ಎನ್ನ ನಾಸಿಕಕ್ಕೆ ಬಪ್ಪ ಪರಿಮಳ ನಿಮಗರ್ಪಿತ.
ಎನ್ನ ಕಾಯಕ್ಕೆ ಬಪ್ಪ ಸುಖ ನಿಮಗರ್ಪಿತ.
ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಯ್ಯಾ, ನಿಮಗರ್ಪಿಸದ ಮುನ್ನ ಮುಟ್ಟಲಮ್ಮೆನಯ್ಯಾ.",
15,777,ದೇಶಿಕೇಂದ್ರ ಸಂಗನಬಸವಯ್ಯ,"ಕಾಯವಿಲ್ಲದ ಶರಣಂಗೆ ಕರ್ಮವಿಲ್ಲ ;
ಕರ್ಮಶೂನ್ಯವಾದಲ್ಲಿ ಭಾವನಾಸ್ತಿ ಕಾಣಾ.
ಭಾವನಾಸ್ತಿಯಾಗಿ ನಿರ್ಭಾವ ನಿಂದು ನಿಜವಾದಲ್ಲಿ
ನೋಡಲಿಲ್ಲ ನುಡಿಯಲಿಲ್ಲ ಕೂಡಲಿಲ್ಲ ಅಗಲಲಿಲ್ಲ.
ಗುರುನಿರಂಜನ ಚನ್ನಬಸವಲಿಂಗ ತಾನು ತಾನಾಗಿರ್ದ ಸುಖವ
ತಂದು ಹೇಳುವರಾರೂ ಇಲ್ಲ ಈ ಮೂರುಲೋಕದೊಳಗೆ.",
16,822,ಅಲ್ಲಮಪ್ರಭುದೇವರು,"ಅರಿತು ಜನ್ಮವಾದವರಿಲ್ಲ ಸತ್ತು ಮರಳಿ ತೋರುವರಿಲ್ಲ.
ದುರಭಿಮಾನವ ಹೊತ್ತು ಅಘಟಿತ ಘಟಿತವ ನುಡಿವಿರಿ.
ಈ ದೇಹವಿಡಿದು ನುಡಿವ ಪ್ರಪಂಚಿಗಳನೇನೆಂಬೆ ಗುಹೇಶ್ವರಾ.",
17,849,ಹಡಪದ ಅಪ್ಪಣ್ಣ,"ಅಯ್ಯಾ ಆರೂ ಇಲ್ಲದ ಅರಣ್ಯದಲ್ಲಿ, ನಾನಡಿಯಿಟ್ಟು ನಡವುತ್ತಿರ್ದೆನಯ್ಯಾ.
ಮುಂದೆ ಬರೆಬರೆ ಮಹಾಸರೋವರವ ಕಂಡೆ.
ಸರೋವರದೊಳಗೊಂದು ಹಿರಿಯ ಮೃಗವ ಕಂಡೆ.
ಆ ಮೃಗಕ್ಕೆ ಕೊಂಬುಂಟು ತಲೆಯಿಲ್ಲ,
ಬಾಯುಂಟು ಕಣ್ಣಿಲ್ಲ, ಕೈಯುಂಟು ಹಸ್ತವಿಲ್ಲ,
ಕಾಲುಂಟು ಹೆಜ್ಜೆಯಿಲ್ಲ, ಒಡಲುಂಟು ಪ್ರಾಣವಿಲ್ಲ.
ಇದ ಕಂಡು ನಾ ಹೆದರಿ, ಹವ್ವನೆ ಹಾರಿ, ಬೆದರಿ ಬಿದ್ದೆನಯ್ಯಾ.
ಆಗೆನ್ನ ಹೆತ್ತತಾಯಿ ಬಂದು ಎತ್ತಿ ಕುಳ್ಳಿರಿಸಿ,
ಚಿತ್ತಮೂಲಾಗ್ನಿಯ ಒತ್ತಿ ಉರುಹಿದರೆ, ಇವೆಲ್ಲವು ಸುಟ್ಟು ಬಟ್ಟಬಯಲಾದವು.
ಆ ಬಟ್ಟಬಯಲೊಳಗೆ ಅಡಿಯಿಟ್ಟು ನಡೆವಾಗ,
ಮುಂದೆ ಇಟ್ಟಡಿಯ ಬಾಗಿಲೊಳಗೆ ಮತ್ತೊಂದು ಮೃಗವ ಕಂಡೆ.
ಆ ಮೃಗಕ್ಕೆ ತಲೆಯುಂಟು ಕೊಂಬಿಲ್ಲ, ಕಣ್ಣುಂಟು ಬಾಯಿಲ್ಲ,
ಹಸ್ತವುಂಟು ಕೈಯಿಲ್ಲ, ಹೆಜ್ಜೆಯುಂಟು ಕಾಲಿಲ್ಲ, ಪ್ರಾಣವುಂಟು ಒಡಲಿಲ್ಲ.
ಇದ ಕಂಡು ನಾ ಅಪ್ಪಿಕೊಳಹೋದಡೆ, ಮುಟ್ಟದ ಮುನ್ನವೆ ಎನ್ನನೆ ನುಂಗಿತ್ತು.
ನುಂಗಿದ ಮೃಗ ಮಹಾಲಿಂಗದಲ್ಲಿಯೆ ಅಡಗಿತ್ತು,
ಬಸವಪ್ರಿಯ ಕೂಡಲಚೆನ್ನಬಸವಣ್ಣಾ.",
18,859,ಮಧುವಯ್ಯ,"ಬಾಹ್ಯದಲ್ಲಿ ಶ್ರದ್ಧೆಭಾವ, ಭಾವದಲ್ಲಿ ಬಳಕೆ ನಾಸ್ತಿಯಾಗಿ,
ಅಮಳಕಫಲ ಕರದಲ್ಲಿದ್ದಂತೆ ಕಲೆದೋರದಿರು,
ಅರ್ಕೇಶ್ವರಲಿಂಗವನರಿವುದಕ್ಕೆ.",
19,284,ಸಿದ್ಧರಾಮೇಶ್ವರ,"ಎಂಟು ಹದಿನಾರೆಂಬ ಬಲೆಯನೊಡ್ಡಿ
ಚೆನ್ನಮೃಗವೆಂಬ ಕಂಗಳ ಬೇಟೆ ಎಸುವೆನಯ್ಯಾ.
ವಿಂಧ್ಯವನದೊಳಗೆ ಓ ಓ ಎಂದೆನುತಲಯಿದರೆ ಎಸುವೆನಯ್ಯಾ.
ಎಯ್ದೆ ಬಾಣಕ್ಕೆ ಎಯ್ದೆ ಗುರಿಯಾಗದ ಮುನ್ನ ಎಯ್ದುವೆ
ದಶಮುಖ ರಾಮತಂದೆ ಎಸುವೆನಯ್ಯಾ",
20,419,ಅಲ್ಲಮಪ್ರಭುದೇವರು,"ಮನ ಮುಟ್ಟದ ಮಜ್ಜನ ತನು ತಾಗದ ದೇಹಾರ,
ಭಾವ ತಾಗದ ಪೂಜೆ, ಎದೆ ತಾಗದ ನೋಟ
ವಾಯು ತಾಗದ ನಲಿಂಗದ¥sgಠ್ಞವ ತೋರಾ ಗುಹೇಶ್ವರಾ.",
21,1667,ಏಲೇಶ್ವರ ಕೇತಯ್ಯ,"ಆವ ವ್ರತ ನೇಮವ ಹಿಡಿದಡೂ
ಆ ವ್ರತ ನೇಮದ ಭಾವಶುದ್ಧವಾಗಿರಬೇಕು.
ಅಸಿ ಕೃಷಿ ಯಾಚಕ ವಾಣಿಜ್ಯತ್ವದಿಂದ ಬಂದ ದ್ರವ್ಯಂಗಳಲ್ಲಿ
ಬಾಹ್ಯದ ಬಳಕೆ ಅಂತರಂಗದ ನಿರಿಗೆ
ಉಭಯ ಶುದ್ಧವಾಗಿಪ್ಪ ಭಕ್ತನಂಗವೆ ಏಲೇಶ್ವರಲಿಂಗದಂಗ.",
22,108,ಕೋಲ ಶಾಂತಯ್ಯ,"ದಿನಚರಿಯೆಂಬ ಪಟ್ಟಣದಲ್ಲಿ ಕನಕರತಿಯೆಂಬರಸು,
ಮನಸಿಜನೆಂಬ ಪ್ರಧಾನ,
ಕನಸಕಂಡಡೆ ಅರಿವ ತಮಸೂನು ತಳವಾರ.
ಇವರೆಲ್ಲರ ವಂಚಿಸಿ ಅರಸಿನ ಹೆಂಡತಿ
ಹೆಂಡವ ಕುಡಿವವನ ಅಂಗದಲ್ಲಿ ಸಿಕ್ಕಿದಳು.
ಪ್ರಧಾನ ಕಂಡ; ಅರಸು ತಳವಾರ ಕಂಡುದಿಲ್ಲ.
ಮನಸಿಜ ಕಂಡು ಬದುಕಿದೆ ಹೋಗೆಂದ.
ಅರಸಿಗೆ ಕೂಪನಾದ; ಮಾನಹಾನಿಗೆ ಕೇಡಿಲ್ಲದಂತೆ.
ಇಂತೀ ಭೇದವನರಿ, ಪಣ್ಯಾರಣ್ಯದಹನ ಬ್ಥೀಮೇಶ್ವರಲಿಂಗ ನಿರಂಗಸಂಗ.",
23,390,ಅಕ್ಕಮಹಾದೇವಿ,"ಸತ್ಯ ಸದ್ಭಕ್ತರ ಸಂಭಾಷಣೆ ನುಡಿಗಡಣವೆಂಬುದು
ನಿಚ್ಚಲೊಂದು ಉಪದೇಶ ಮಂತ್ರವ ಕಲಿತಂತೆ.
ಬಚ್ಚಬ¾Âಯ ಭವಿಗಳ ಸಂಗದಲ್ಲಿದ್ದರೆ
ಕಿಚ್ಚಿನೊಳಗೆ ಬಿದ್ದ ಕೀಡೆಯಂತಪ್ಪುದಯ್ಯ.
ಸುಚಿತ್ತದಿಂದ ನಿಮ್ಮ ಸದ್ಭಕ್ತರ ಸಂಗದಲ್ಲಿರಿಸದಿರ್ದಡೆ ನಾನಿನ್ನೆತ್ತ ಸಾರುವೆನು
ಹೇಳಾ ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಾ ?",
24,304,ಗುಪ್ತ ಮಂಚಣ್ಣ,"ಕದ್ದಡೆ ಕಳವ ಕೊಟ್ಟಿದ್ದವರಿದ್ದಂತೆ
ಆಚೆಯಲ್ಲಿ ಇದ್ದವರಿಗೇನು?
ಹುಸಿ ಕೊಲೆ ಕಳವು ಹಾದರ ಇಂತಿವನೆಸಗಿ ಮಾಡುವ
ಪಾಪಿಯ ಎದುರಿಗೆ  ಹೇಳಿ ಹೇಸದೆ ಬಿಡಲೇತಕ್ಕೆ?
ಇಂತೀ ರಸಿಕವನರಿದವಂಗೆ ಎಸಕವಿಲ್ಲದ ಮಾತು,
ಶಶಿಧರನ ಶರಣಂಗೆ ಹಸುಳೆಯ ತೆರನಂತೆ,
ನಸುಮಾಸದ ಪಿಕದಂತೆ, ಶಬರನ ಸಂದಣಿಯಂತೆ,
ಉಲುಹಡಗಾ ಕಲಹಪ್ರಿಯ ಕಂಜಳಧರ ರಾಮನಾಥಾ.",
25,871,ದೇಶಿಕೇಂದ್ರ ಸಂಗನಬಸವಯ್ಯ,"ಕೂಟವನರಿಯದೆ ಕೋಟಲೆಗೊಂಡಿತ್ತು ಲೋಕವೆಲ್ಲ.
ಹಾದಿಯೆರಡರಲ್ಲಿ ನಡೆವ ಕುಂಟ ಕುರುಡರು ತಂಟಕರಾಗಿ ಹೋಗಿಬರುವರು.
ಸಾಧಕ ಸಂದಣಿಗಳೆಲ್ಲ ಮೇದಿನಿಯೊಳುಳಿದರು.
ಹಿರಿಯ ಕಿರಿಯರೆನಿಸುವರೆಲ್ಲ ಬಲೆಯೊಳು ಸಿಲುಕಿದರು.
ಉಳಿದವರಂತಿರಲಿ, ಇದನರಿದು ನಾನು ಮಾಟವ ಮರೆದು ಕೂಟವ ಕಂಡು
ಕಾಣದೆ ಸಮರಸಾನಂದದೊಳಿರ್ದೆನು
ಗುರುನಿರಂಜನ ಚನ್ನಬಸವಲಿಂಗದೊಳಗೆ.",
26,714,ಸಿದ್ಧರಾಮೇಶ್ವರ,"ನಿಮ್ಮನರಿವರನರಿವೆನಯ್ಯಾ.
ನಿಮ್ಮ ಮರೆವರ ಮರೆವೆನಯ್ಯಾ.
ಮಾಯಿದೇವಿಗೆ ಮತವ ಕೊಟ್ಟು
ಎಲ್ಲ ಹಿರಿಯರ ಜರಿವೆಯಯ್ಯಾ.
ಇವೆಲ್ಲವ ತೋರಿ ನೀ ಗೆಲುವೆಯಯ್ಯಾ
ಎನ್ನ ಕಪಿಲಸಿದ್ಧಮಲ್ಲಿನಾಥಯ್ಯಾ.",
27,29,ಕರುಳ ಕೇತಯ್ಯ,"ಜಲ ನೆಲ ಅನಲ ಅನಿಲ ಮಿಕ್ಕಾದ
ದೃಷ್ಟಂಗಳೆಲ್ಲವನೂ ನಿರೀಕ್ಷಿಸಿ ಸಾದ್ಥಿಸಿಕೊಂಡು
ಶ್ರುತ ದೃಷ್ಟ ಅನುಮಾನಂಗಳಲ್ಲಿ ತಿಳಿದು,
ಹಿಂದಣ  ಮುಂದಣ ಸಂದೇಹವ ಹರಿದು
ಮುಟ್ಟೂದು ಘಟಕ್ರಿಯಾಭೇದ
ಮನಕ್ಕೆ ಮನೋಹರ ಸಂಕೇಶ್ವರ ಲಿಂಗವನರಿವುದಕ್ಕೆ.",
28,630,ಅಲ್ಲಮಪ್ರಭುದೇವರು,"ಪಾದವಿಲ್ಲದ ಗುರುವಿಂಗೆ ತಲೆಯಿಲ್ಲದ ಶಿಷ್ಯನು.
ಅನಾಚಾರಿ ಗುರುವಿಂಗೆ ವ್ರತಗೇಡಿ ಶಿಷ್ಯನು.
ಈ ಗುರುಶಿಷ್ಯರಿಬ್ಬರೂ ಸತ್ತ ಸಾವ, ನಿಮ್ಮಲ್ಲಿ ಅರಸುವೆ ಗುಹೇಶ್ವರಾ.",
29,467,ಅರಿವಿನ ಮಾರಿತಂದೆ,"ಶ್ರೀಶೈಲದ ಮಧ್ಯದಲ್ಲಿ ಒಂದು ಪರುಷರಸದ ಬಾವಿ ಹುಟ್ಟಿತ್ತು,
ಆ ಬಾವಿಯೊಳಗೆ ಕಬ್ಬುನದ ಅದಿರು ಹುಟ್ಟಿ ಸಿದ್ಧರಸವ ನುಂಗಿತ್ತು.
ಇದ್ದವನ ಸುದ್ದಿಯ ಸತ್ತವ ಹೇಳಿ, ಕಾಣದವ ಕೇಳಿ ಹೋದ,
ಸದಾಶಿವಮೂರ್ತಿಲಿಂಗ ಬಚ್ಚಬರಿಯ ಬಯಲು.",
30,455,ಅರಿವಿನ ಮಾರಿತಂದೆ,"ಪಂಚಾಕ್ಷರಿಯ ಮಣಿಮಾಲೆಯಲ್ಲಿ
ಸಂಚಿತ ಪ್ರಾರಬ್ಧ ಕರ್ಮವೆಂಬ ದಾರ ನಡುವೆ ಸಿಕ್ಕಿ,
ಮಣಿಯ ತಿರುಗಾಡಿಸುತ್ತದೆ.
ದಾರವ ಹರಿದು ಮಣಿಯ ದ್ವಾರವ ಮುಚ್ಚಿ ಉಲುಹಡಗಿ ನಿಲಬೇಕು,
ಸದಾಶಿವಮೂರ್ತಿಲಿಂಗವನರಿವುದಕ್ಕೆ.",
31,2120,ಮೋಳಿಗೆ ಮಾರಯ್ಯ,"ವಾಯುವ ಹಿಡಿದು, ದಂಡವ ಕೊಂಡು,
ಸಾವರ ಹಿಡಿದು, ಸಂಕಲೆಯನಿಕ್ಕಿ,
ಈ ವಿದ್ಥಿಯಲ್ಲಿ ಸಯಸಗೊಳ್ಳದೆ,
ಭಾವವಾಡಿದಂತೆ ಭ್ರಮೆಗೊಳಗಾಗದೆ,
ಮತ್ತಿವನೇನನೂ ಎನ್ನದಿರ್ಪುದೆ, ಸರ್ವಜ್ಞಾನದೊಳಗು.
ಆ ನಿಜವಸ್ತು, ತಾನು ತಾನೆ, ನಿಃಕಳಂಕ ಮಲ್ಲಿಕಾರ್ಜುನಾ.",
